filename,ExG_mean,ExG_std,VARI_mean,VARI_std,NGRDI_mean,NGRDI_std,VIgreen_mean,VIgreen_std,L_mean,L_std,a_mean,a_std,b_mean,b_std,a_over_b,colorfulness_mean,colorfulness_std,Hue_mean_deg,Hue_std_deg,S_mean,S_std,V_mean,V_std,GLCM_contrast_mean,GLCM_correlation_mean,GLCM_energy_mean,GLCM_homogeneity_mean,GLCM_dissimilarity_mean,entropy,skewness,kurtosis,std,energy
Ronda1_Mango01Frente01.jpg,0.186909407377243,0.0664715319871902,-83.9055328369141,10044.72265625,-0.0224470440298318,0.151437073945999,3319.96948242188,39375.05859375,40.4092597961426,15.7984409332275,-6.34698057174683,2.60360527038574,28.679780960083,9.05391311645508,-0.221305057328283,29.4668369293213,9.12533473968506,56.1621068155638,17.2706480886053,0.565504729747772,0.117298670113087,0.399665683507919,0.160607546567917,1.46463107524817,0.961548114896162,0.0432244716409017,0.816759631715873,0.455141724723756,1.03138357,2.624591088,4.974702502,0.219216502,0.580558749
Ronda1_Mango01Frente02.jpg,0.198867529630661,0.0645741522312164,-59.1482353210449,8556.7900390625,-0.0195972025394439,0.125741139054298,2396.6201171875,33727.4140625,41.2407760620117,15.1806049346924,-6.60397338867188,2.41835451126099,30.3794441223145,8.73254013061523,-0.217382956709444,31.1653804779053,8.79479122161865,56.3724060984693,14.7252332434042,0.585174322128296,0.113595604896545,0.408619940280914,0.154937386512756,1.06847796258603,0.970547065502732,0.0396083610463532,0.845877473560004,0.362462824717547,1.044198472,2.616914518,4.948668014,0.217385494,0.572564528
Ronda1_Mango01Frente03.jpg,0.211015090346336,0.0714152827858924,-58.6154098510742,8550.9365234375,-0.0134224947541952,0.136849790811539,3083.5498046875,38529.6015625,41.4766998291016,16.9850215911865,-7.12163305282593,2.54606986045837,31.407039642334,9.9497709274292,-0.226752764082835,32.2984161376953,9.97058010101318,57.4354551700054,16.9116621658895,0.612710356712341,0.130730539560318,0.411812782287598,0.173436373472214,1.1554890859233,0.974224222549157,0.0364500566645092,0.860272676334313,0.342171390090512,1.053038619,2.605666207,4.909610948,0.215800134,0.565696977
Ronda1_Mango01Frente04.jpg,0.211527913808823,0.064807578921318,-62.9543647766113,7972.19677734375,-0.0168184135109186,0.123748600482941,2336.31616210938,32493.681640625,40.6539916992188,15.8819904327393,-7.07584142684937,2.15185046195984,31.6423320770264,8.8821611404419,-0.223619466712775,32.4789581298828,8.94119644165039,57.0728242986473,15.2725121907306,0.620599627494812,0.119591824710369,0.401305019855499,0.162217646837235,1.05543762086862,0.973617736921459,0.0465404944126743,0.856810553893381,0.340379755982688,1.040285942,2.610159578,4.924891378,0.217360501,0.572455876
Ronda1_Mango01Frente05.jpg,0.215305119752884,0.0618831850588321,-37.9099197387695,7288.7353515625,-0.0143951121717691,0.108927845954895,1893.32995605469,29338.5703125,39.516414642334,16.0812168121338,-7.1924934387207,1.97122931480408,32.0822486877441,8.37839412689209,-0.224189192798896,32.9213371276856,8.44225978851318,57.4210140727441,12.9636901901243,0.64677894115448,0.120012201368809,0.390204071998596,0.165177464485168,1.03426024043485,0.976243232855425,0.0522061079633178,0.843354714194504,0.363569445861573,1.058101727,2.617506973,4.950975286,0.216113307,0.567049616
Ronda1_Mango01Frente06.jpg,0.216563448309898,0.0567284226417541,-35.8114128112793,6688.9306640625,-0.0080008469521999,0.111064486205578,1934.37719726563,29882.97265625,40.9106597900391,16.2171764373779,-7.57084608078003,1.79343211650848,31.7627849578857,8.27051639556885,-0.238355864841029,32.7131042480469,8.22574329376221,58.4190236170165,13.4534791841025,0.622645437717438,0.1252830773592,0.403956860303879,0.166734278202057,1.02765154240128,0.976727202368103,0.0380560530073475,0.837208855711135,0.375723154220486,1.052174539,2.620626455,4.961485183,0.216933035,0.570599415
Ronda1_Mango01Frente07.jpg,0.212905898690224,0.0582579858601093,-55.5846786499023,8030.626953125,-0.0091147981584072,0.126590222120285,2622.11303710938,35293.6796875,43.2925148010254,16.5884265899658,-7.43556356430054,2.07407069206238,31.3949089050293,8.69474697113037,-0.236839787763837,32.3472213745117,8.63051223754883,58.0200574324839,15.6710488232064,0.587374866008759,0.127279981970787,0.428713798522949,0.16978520154953,1.1360679047441,0.973966019471845,0.035934975640018,0.841883856141853,0.379698332539232,1.047061642,2.619133117,4.95622014,0.21731005,0.572236578
Ronda1_Mango01Frente08.jpg,0.214757964015007,0.0587218441069126,-77.2048645019531,8719.283203125,-0.0163484085351228,0.127431228756905,2653.89990234375,35553.453125,47.1079521179199,14.1396312713623,-7.27838611602783,2.15402746200562,31.9531879425049,8.2580099105835,-0.227782784204393,32.8387184143066,8.27250480651856,56.7640850229132,15.5124980694878,0.543561637401581,0.109758637845516,0.465090036392212,0.144078552722931,1.41115458775404,0.950179419165135,0.0395051053370747,0.813216402392293,0.456974653588869,1.012929724,2.626273292,4.979996899,0.221138912,0.589024186
Ronda1_Mango01Frente09.jpg,0.187611535191536,0.0601356402039527,-64.7255935668945,8611.0126953125,-0.0213829465210437,0.133789420127869,2748.54223632813,35952.67578125,42.7526435852051,15.2916402816772,-6.28584051132202,2.24238562583923,28.9779720306397,8.41710567474365,-0.216917888612307,29.725284576416,8.45685577392578,55.8924307869177,15.4570103094459,0.540302574634552,0.109051138162613,0.423061460256577,0.155821532011032,1.46317480826786,0.959206162259987,0.0388498583667346,0.811772055472812,0.46626610798772,1.006290567,2.62536484,4.976819334,0.221682338,0.591430591
Ronda1_Mango01Frente10.jpg,0.196034237742424,0.0674825012683868,-35.0321083068848,7013.1884765625,-0.0177857857197523,0.108668953180313,1940.37512207031,29644.607421875,41.1254386901856,14.0427370071411,-6.70677852630615,2.28295993804932,29.7206592559814,8.51002407073975,-0.225660489771934,30.5055179595947,8.68010234832764,56.5448918262527,12.6373818534978,0.559788763523102,0.0907160937786102,0.404470384120941,0.139489650726318,1.03078291694963,0.966652267447662,0.0492069796522911,0.828156733930633,0.394165962862771,1.052803017,2.623259883,4.970606465,0.217043903,0.571080557
